1	RL_CLUSTER	2387.38452	1	1	1	1	1
2	RL_CLUSTER	839.9406	1	1	1	1	1
3	AR	1315.2821	1	1	1	1	1
4	PHYSICAL	2158.8900	1	1	1	1	1
5	AR	978.303345	1	1	0	0	0
6	PHYSICAL	1973.4200	1	1	1	1	1
7	RL_CLUSTER	2453.0000	1	1	1	0	1
8	AR	2913.51123	1	1	1	1	1
9	PHYSICAL	2844.6600	1	1	1	1	1
10	AR	1401.53967	1	1	1	1	0
11	RL_CLUSTER	615.608	1	1	1	1	1
12	RL_CLUSTER	2585.79761	1	1	1	1	1
13	AR	1094.80347	1	1	1	1	1
14	RL_CLUSTER	3059.266	1	1	1	0	1
15	PHYSICAL	2065.1500	1	1	1	1	1
16	RL_CLUSTER	3020.55225	1	1	1	0	1
17	AR	1542.0426	1	1	1	1	1
18	AR	3610.336	1	1	1	1	1
19	PHYSICAL	1410.4300	1	1	1	1	1
20	AR	1993.75427	1	1	1	1	1
21	PHYSICAL	1356.2500	1	1	1	1	1
22	RL_CLUSTER	1807.95886	1	1	1	1	1
23	RL_CLUSTER	1335.60352	1	1	1	1	0
24	PHYSICAL	1313.6900	1	1	1	1	1
25	RL_CLUSTER	1237.82288	0	0	1	0	0
26	RL_CLUSTER	2341.16675	1	1	1	1	1
27	AR	2120.621	1	1	1	1	1
28	RL_CLUSTER	2256.251	0	0	0	0	0
29	RL_CLUSTER	-1	-1	-1	-1	-1	-1
30	PHYSICAL	3620.3100	1	1	1	0	1
31	PHYSICAL	1952.1800	1	1	1	1	1
32	AR	2096.77832	1	1	1	1	1
33	AR	2929.32324	0	1	1	1	1
34	RL_CLUSTER	2480.27563	0	0	0	0	0
35	AR	2012.27075	1	1	1	1	1
36	PHYSICAL	1370.2500	1	1	0	1	1
37	RL_CLUSTER	2055.13184	1	1	1	1	1
38	AR	1528.0000	1	1	1	1	1
39	PHYSICAL	2371.5700	0	0	1	0	0
40	PHYSICAL	2202.0900	1	1	1	1	1
41	RL_CLUSTER	1680.33594	0	0	1	1	0
42	AR	2122.19922	1	1	1	1	1
43	PHYSICAL	1884.3000	1	1	1	1	1
44	RL_CLUSTER	2039.3949	1	1	1	1	1
45	AR	2419.82935	1	1	1	0	1
46	RL_CLUSTER	4770.451	1	1	1	1	1
47	RL_CLUSTER	1365.432	0	0	1	0	0
48	AR	2547.0000	1	1	1	1	1
49	RL_CLUSTER	1257.413	1	1	1	1	1
50	PHYSICAL	798.820		0	0	1	0	0
51	RL_CLUSTER	2765.49878	1	1	1	1	1
52	PHYSICAL	1528.060	1	1	1	1	1
53	PHYSICAL	1509.430	1	1	1	0	1
54	RL_CLUSTER	2565.86		1	1	1	1	1
55	AR	2766.155	1	1	1	1	1
56	AR	1769.16626	1	1	1	1	1
57	RL_CLUSTER	2782.27881	1	1	1	1	1
58	PHYSICAL	1522.690	0	1	1	1	0
59	PHYSICAL	1116.580	1	1	1	1	1
60	AR	2956.43555	1	1	1	1	1
61	RL_CLUSTER	1993.8783	0	1	1	0	0
62	RL_CLUSTER	-1	-1	-1	-1	-1	-1
63	PHYSICAL	1072.920	1	1	1	1	1
64	AR	1208.122	0	0	0	0	0
65	AR	2391.320	1	0	1	1	1
66	RL_CLUSTER	2400.09644	1	1	1	1	1
67	PHYSICAL	1399.710	1	1	1	1	1
